State,Date,Number of Cases,Number of Deaths
Wisconsin,2021-02-18,610056,6820
Wisconsin,2021-02-17,609192,6803
Wisconsin,2021-02-16,608420,6792
Wisconsin,2021-02-15,607639,6753
Wisconsin,2021-02-14,607213,6748
Wisconsin,2021-02-13,606651,6747
Wisconsin,2021-02-12,605785,6737
Wisconsin,2021-02-11,604683,6725
Wisconsin,2021-02-10,603257,6708
Wisconsin,2021-02-09,602256,6669
Wisconsin,2021-02-08,601391,6619
Wisconsin,2021-02-07,600782,6617
Wisconsin,2021-02-06,600016,6615
Wisconsin,2021-02-05,598902,6579
Wisconsin,2021-02-04,597475,6549
Wisconsin,2021-02-03,595756,6500
Wisconsin,2021-02-02,594217,6485
Wisconsin,2021-02-01,592921,6439
Wisconsin,2021-01-31,592140,6437
Wisconsin,2021-01-30,590997,6433
Wisconsin,2021-01-29,589384,6393
Wisconsin,2021-01-28,587580,6339
Wisconsin,2021-01-27,585600,6306
Wisconsin,2021-01-26,584041,6268
Wisconsin,2021-01-25,582477,6203
Wisconsin,2021-01-24,581377,6193
Wisconsin,2021-01-23,580003,6187
Wisconsin,2021-01-22,577991,6140
Wisconsin,2021-01-21,575688,6091
Wisconsin,2021-01-20,573119,6036
Wisconsin,2021-01-19,571268,5974
Wisconsin,2021-01-18,569335,5930
Wisconsin,2021-01-17,568166,5907
Wisconsin,2021-01-16,566275,5906
Wisconsin,2021-01-15,563866,5771
Wisconsin,2021-01-14,561160,5729
Wisconsin,2021-01-13,558020,5679
Wisconsin,2021-01-12,555249,5635
Wisconsin,2021-01-11,551942,5576
Wisconsin,2021-01-10,550260,5571
Wisconsin,2021-01-09,548134,5568
Wisconsin,2021-01-08,544618,5530
Wisconsin,2021-01-07,540508,5485
Wisconsin,2021-01-06,535999,5442
Wisconsin,2021-01-05,531890,5370
Wisconsin,2021-01-04,527871,5273
Wisconsin,2021-01-03,526245,5264
Wisconsin,2021-01-02,523652,5259
Wisconsin,2021-01-01,522523,5257
Wisconsin,2020-12-31,520438,5245
Wisconsin,2020-12-30,516226,5195
Wisconsin,2020-12-29,513056,5157
Wisconsin,2020-12-28,510137,5065
Wisconsin,2020-12-27,508580,5042
Wisconsin,2020-12-26,506022,5032
Wisconsin,2020-12-25,505345,5028
Wisconsin,2020-12-24,503706,5022
Wisconsin,2020-12-23,500443,4956
Wisconsin,2020-12-22,497380,4882
Wisconsin,2020-12-21,494353,4754
Wisconsin,2020-12-20,492724,4745
Wisconsin,2020-12-19,490679,4724
Wisconsin,2020-12-18,486364,4635
Wisconsin,2020-12-17,482443,4566
Wisconsin,2020-12-16,478162,4499
Wisconsin,2020-12-15,475340,4412
Wisconsin,2020-12-14,471285,4359
Wisconsin,2020-12-13,468956,4344
Wisconsin,2020-12-12,465991,4329
Wisconsin,2020-12-11,461367,4272
Wisconsin,2020-12-10,456889,4216
Wisconsin,2020-12-09,452180,4149
Wisconsin,2020-12-08,448009,4059
Wisconsin,2020-12-07,443415,3979
Wisconsin,2020-12-06,441067,3956
Wisconsin,2020-12-05,437918,3938
Wisconsin,2020-12-04,432217,3847
Wisconsin,2020-12-03,426534,3781
Wisconsin,2020-12-02,420930,3715
Wisconsin,2020-12-01,416365,3628
Wisconsin,2020-11-30,411730,3504
Wisconsin,2020-11-29,409054,3496
Wisconsin,2020-11-28,404999,3474
Wisconsin,2020-11-27,399557,3444
Wisconsin,2020-11-26,398104,3431
Wisconsin,2020-11-25,392443,3363
Wisconsin,2020-11-24,386441,3295
Wisconsin,2020-11-23,379693,3175
Wisconsin,2020-11-22,376238,3162
Wisconsin,2020-11-21,372219,3155
Wisconsin,2020-11-20,365190,3106
Wisconsin,2020-11-19,358113,3021
Wisconsin,2020-11-18,350665,2939
Wisconsin,2020-11-17,342155,2876
Wisconsin,2020-11-16,334640,2775
Wisconsin,2020-11-15,329924,2759
Wisconsin,2020-11-14,323604,2748
Wisconsin,2020-11-13,318023,2694
Wisconsin,2020-11-12,309605,2626
Wisconsin,2020-11-11,301349,2562
Wisconsin,2020-11-10,293862,2497
Wisconsin,2020-11-09,286446,2421
Wisconsin,2020-11-08,281910,2396
Wisconsin,2020-11-07,277568,2385
Wisconsin,2020-11-06,270074,2340
Wisconsin,2020-11-05,263640,2273
Wisconsin,2020-11-04,257365,2237
Wisconsin,2020-11-03,251227,2179
Wisconsin,2020-11-02,244974,2117
Wisconsin,2020-11-01,241423,2110
Wisconsin,2020-10-31,237870,2092
Wisconsin,2020-10-30,232092,2034
Wisconsin,2020-10-29,226712,2008
Wisconsin,2020-10-28,221578,1953
Wisconsin,2020-10-27,217447,1896
Wisconsin,2020-10-26,212116,1825
Wisconsin,2020-10-25,208917,1814
Wisconsin,2020-10-24,205139,1804
Wisconsin,2020-10-23,200479,1776
Wisconsin,2020-10-22,195853,1730
Wisconsin,2020-10-21,192225,1707
Wisconsin,2020-10-20,187898,1660
Wisconsin,2020-10-19,183177,1624
Wisconsin,2020-10-18,175652,1588
Wisconsin,2020-10-17,175652,1588
Wisconsin,2020-10-16,175652,1588
Wisconsin,2020-10-15,171480,1568
Wisconsin,2020-10-14,167441,1549
Wisconsin,2020-10-13,164137,1521
Wisconsin,2020-10-12,160655,1488
Wisconsin,2020-10-11,158426,1477
Wisconsin,2020-10-10,155752,1470
Wisconsin,2020-10-09,152831,1453
Wisconsin,2020-10-08,149613,1436
Wisconsin,2020-10-07,146376,1427
Wisconsin,2020-10-06,143886,1410
Wisconsin,2020-10-05,141780,1393
Wisconsin,2020-10-04,139941,1388
Wisconsin,2020-10-03,138018,1383
Wisconsin,2020-10-02,134996,1364
Wisconsin,2020-10-01,132176,1358
Wisconsin,2020-09-30,129172,1338
Wisconsin,2020-09-29,126744,1312
Wisconsin,2020-09-28,124320,1293
Wisconsin,2020-09-27,122498,1291
Wisconsin,2020-09-26,120249,1291
Wisconsin,2020-09-25,117355,1285
Wisconsin,2020-09-24,114743,1275
Wisconsin,2020-09-23,112276,1269
Wisconsin,2020-09-22,110393,1259
Wisconsin,2020-09-21,108656,1253
Wisconsin,2020-09-20,107343,1250
Wisconsin,2020-09-19,105609,1249
Wisconsin,2020-09-18,103211,1247
Wisconsin,2020-09-17,100619,1240
Wisconsin,2020-09-16,98501,1238
Wisconsin,2020-09-15,97002,1230
Wisconsin,2020-09-14,95564,1219
Wisconsin,2020-09-13,94723,1219
Wisconsin,2020-09-12,93102,1218
Wisconsin,2020-09-11,91672,1206
Wisconsin,2020-09-10,90232,1202
Wisconsin,2020-09-09,88643,1193
Wisconsin,2020-09-08,87730,1179
Wisconsin,2020-09-07,86981,1177
Wisconsin,2020-09-06,86406,1177
Wisconsin,2020-09-05,85517,1177
Wisconsin,2020-09-04,84519,1164
Wisconsin,2020-09-03,83119,1155
Wisconsin,2020-09-02,82261,1151
Wisconsin,2020-09-01,81688,1141
Wisconsin,2020-08-31,80733,1132
Wisconsin,2020-08-30,80311,1132
Wisconsin,2020-08-29,79767,1129
Wisconsin,2020-08-28,78984,1123
Wisconsin,2020-08-27,78136,1121
Wisconsin,2020-08-26,77220,1112
Wisconsin,2020-08-25,76453,1106
Wisconsin,2020-08-24,75755,1093
Wisconsin,2020-08-23,75205,1092
Wisconsin,2020-08-22,74740,1092
Wisconsin,2020-08-21,73895,1079
Wisconsin,2020-08-20,73067,1077
Wisconsin,2020-08-19,72204,1071
Wisconsin,2020-08-18,71517,1063
Wisconsin,2020-08-17,70796,1050
Wisconsin,2020-08-16,70246,1048
Wisconsin,2020-08-15,69560,1047
Wisconsin,2020-08-14,68761,1035
Wisconsin,2020-08-13,67781,1029
Wisconsin,2020-08-12,66705,1022
Wisconsin,2020-08-11,66146,1017
Wisconsin,2020-08-10,65427,1009
Wisconsin,2020-08-09,64835,1009
Wisconsin,2020-08-08,64231,1007
Wisconsin,2020-08-07,63256,1001
Wisconsin,2020-08-06,62139,988
Wisconsin,2020-08-05,61247,979
Wisconsin,2020-08-04,60263,970
Wisconsin,2020-08-03,59471,960
Wisconsin,2020-08-02,58990,956
Wisconsin,2020-08-01,58064,955
Wisconsin,2020-07-31,57020,943
Wisconsin,2020-07-30,56111,928
Wisconsin,2020-07-29,55119,920
Wisconsin,2020-07-28,54114,916
Wisconsin,2020-07-27,53323,905
Wisconsin,2020-07-26,52685,901
Wisconsin,2020-07-25,51735,900
Wisconsin,2020-07-24,50895,887
Wisconsin,2020-07-23,49751,887
Wisconsin,2020-07-22,48777,874
Wisconsin,2020-07-21,47893,868
Wisconsin,2020-07-20,46754,855
Wisconsin,2020-07-19,45953,853
Wisconsin,2020-07-18,45118,852
Wisconsin,2020-07-17,44243,842
Wisconsin,2020-07-16,43361,839
Wisconsin,2020-07-15,42409,835
Wisconsin,2020-07-14,41516,834
Wisconsin,2020-07-13,40603,828
Wisconsin,2020-07-12,39901,828
Wisconsin,2020-07-11,39095,829
Wisconsin,2020-07-10,38414,825
Wisconsin,2020-07-09,37358,821
Wisconsin,2020-07-08,36526,818
Wisconsin,2020-07-07,35834,817
Wisconsin,2020-07-06,35318,805
Wisconsin,2020-07-05,34750,804
Wisconsin,2020-07-04,34243,804
Wisconsin,2020-07-03,33565,804
Wisconsin,2020-07-02,32876,801
Wisconsin,2020-07-01,32307,794
Wisconsin,2020-06-30,31723,793
Wisconsin,2020-06-29,31103,786
Wisconsin,2020-06-28,30716,786
Wisconsin,2020-06-27,30235,786
Wisconsin,2020-06-26,29718,775
Wisconsin,2020-06-25,29204,775
Wisconsin,2020-06-24,28652,769
Wisconsin,2020-06-23,28187,758
Wisconsin,2020-06-22,27849,751
Wisconsin,2020-06-21,27598,751
Wisconsin,2020-06-20,27314,751
Wisconsin,2020-06-19,26913,736
Wisconsin,2020-06-18,26611,725
Wisconsin,2020-06-17,26167,719
Wisconsin,2020-06-16,25829,710
Wisconsin,2020-06-15,25530,703
Wisconsin,2020-06-14,25307,702
Wisconsin,2020-06-13,25026,700
Wisconsin,2020-06-12,24733,698
Wisconsin,2020-06-11,24411,691
Wisconsin,2020-06-10,24091,679
Wisconsin,2020-06-09,21738,662
Wisconsin,2020-06-08,21463,650
Wisconsin,2020-06-07,21246,648
Wisconsin,2020-06-06,20997,646
Wisconsin,2020-06-05,20723,634
Wisconsin,2020-06-04,20359,627
Wisconsin,2020-06-03,19896,618
Wisconsin,2020-06-02,19223,610
Wisconsin,2020-06-01,18825,597
Wisconsin,2020-05-31,18684,594
Wisconsin,2020-05-30,18515,588
Wisconsin,2020-05-29,18050,569
Wisconsin,2020-05-28,17476,550
Wisconsin,2020-05-27,16786,539
Wisconsin,2020-05-26,16141,517
Wisconsin,2020-05-25,15857,514
Wisconsin,2020-05-24,15573,510
Wisconsin,2020-05-23,15196,507
Wisconsin,2020-05-22,14768,496
Wisconsin,2020-05-21,14172,487
Wisconsin,2020-05-20,13779,481
Wisconsin,2020-05-19,13200,467
Wisconsin,2020-05-18,12912,459
Wisconsin,2020-05-17,12754,453
Wisconsin,2020-05-16,12551,453
Wisconsin,2020-05-15,12037,445
Wisconsin,2020-05-14,11449,434
Wisconsin,2020-05-13,11071,421
Wisconsin,2020-05-12,10781,418
Wisconsin,2020-05-11,10581,409
Wisconsin,2020-05-10,10379,400
Wisconsin,2020-05-09,10099,398
Wisconsin,2020-05-08,9750,384
Wisconsin,2020-05-07,9369,374
Wisconsin,2020-05-06,9052,362
Wisconsin,2020-05-05,8696,353
Wisconsin,2020-05-04,8362,340
Wisconsin,2020-05-03,8089,339
Wisconsin,2020-05-02,7785,334
Wisconsin,2020-05-01,7439,327
Wisconsin,2020-04-30,6973,316
Wisconsin,2020-04-29,6621,308
Wisconsin,2020-04-28,6389,300
Wisconsin,2020-04-27,6164,281
Wisconsin,2020-04-26,5986,274
Wisconsin,2020-04-25,5762,266
Wisconsin,2020-04-24,5431,262
Wisconsin,2020-04-23,5125,257
Wisconsin,2020-04-22,4915,247
Wisconsin,2020-04-21,4691,243
Wisconsin,2020-04-20,4564,231
Wisconsin,2020-04-19,4346,222
Wisconsin,2020-04-18,4199,212
Wisconsin,2020-04-17,4045,205
Wisconsin,2020-04-16,3875,197
Wisconsin,2020-04-15,3721,184
Wisconsin,2020-04-14,3555,172
Wisconsin,2020-04-13,3428,155
Wisconsin,2020-04-12,3341,145
Wisconsin,2020-04-11,3213,141
Wisconsin,2020-04-10,3068,131
Wisconsin,2020-04-09,2885,116
Wisconsin,2020-04-08,2756,107
Wisconsin,2020-04-07,2578,94
Wisconsin,2020-04-06,2440,83
Wisconsin,2020-04-05,2267,73
Wisconsin,2020-04-04,2112,60
Wisconsin,2020-04-03,1916,50
Wisconsin,2020-04-02,1730,37
Wisconsin,2020-04-01,1552,33
Wisconsin,2020-03-31,1351,25
Wisconsin,2020-03-30,1269,20
Wisconsin,2020-03-29,1120,17
Wisconsin,2020-03-28,1042,17
Wisconsin,2020-03-27,930,16
Wisconsin,2020-03-26,754,10
Wisconsin,2020-03-25,623,7
Wisconsin,2020-03-24,481,5
Wisconsin,2020-03-23,418,5
Wisconsin,2020-03-22,382,4
Wisconsin,2020-03-21,281,4
Wisconsin,2020-03-20,216,3
Wisconsin,2020-03-19,155,2
Wisconsin,2020-03-18,106,0
Wisconsin,2020-03-17,72,0
Wisconsin,2020-03-16,47,0
Wisconsin,2020-03-15,33,0
